cik,company,event_seq,event_date,edgar_date,lopucki_date,date_discrepancy_days,intra_event_spread_days,source,chapter,sic,is_primary_filer,n_filings
1000234,"Imperial Capital Bancorp, Inc.",1,2009-12-18,2009-12-22,2009-12-18,4,906,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11,6022,1,51
1000285,SOLUTION TECHNOLOGY INTERNATIONAL INC,1,2009-05-14,2009-05-14,,,0,8K_FTS+8K_SUBMISSIONS,,7372,1,2
1000368,FIRSTPLUS FINANCIAL GROUP INC,1,2009-06-29,2009-06-29,,,25,8K_FTS+8K_SUBMISSIONS,,6141,1,4
1001065,PURCHASE POINT MEDIA CORP,1,2009-01-29,2009-01-29,,,0,8K_FTS+8K_SUBMISSIONS,,5500,1,2
1001136,"Stockwalk Group, Inc.",1,2002-02-11,,2002-02-11,,0,LOPUCKI,11,6211,1,1
1001233,"SANGAMO THERAPEUTICS, INC",1,2026-06-23,2026-06-23,,,66,8K_SUBMISSIONS,,2836.0,1,3
1001430,Thaxton Group Inc.,1,2003-10-17,,2003-10-17,,0,LOPUCKI,11,6141,1,1
1001430,THAXTON GROUP INC,2,2007-04-05,2007-04-05,,,12,8K_SUBMISSIONS,,6141.0,1,2
1001463,"Acacia Diversified Holdings, Inc.",1,2006-12-08,2006-12-08,,,0,8K_SUBMISSIONS,,5010.0,1,1
100166,Tultex Corporation,1,1999-12-03,,1999-12-03,,0,LOPUCKI,11,2253,1,1
1001903,ELINEAR INC,1,2006-09-18,2006-09-18,,,0,8K_SUBMISSIONS,,7373.0,1,1
1002063,"Complete Management, Inc.",1,1999-10-12,,1999-10-12,,0,LOPUCKI,11,8742,1,1
1002130,ContiFinancial Corp.,1,2000-05-17,,2000-05-17,,0,LOPUCKI,11,6162,1,1
1002131,Lernout & Hauspie Speech Products NV,1,2000-11-29,,2000-11-29,,0,LOPUCKI,11,7372,1,1
1002178,SCHLOTZSKYS INC,1,2006-04-13,2006-04-13,,,18,8K_SUBMISSIONS,,5812.0,1,2
1002682,HORIZON FINANCIAL CORP,1,2010-01-11,2010-01-11,,,0,8K_FTS+8K_SUBMISSIONS,,6022,1,2
1002813,POINT WEST CAPITAL CORP,1,2004-09-24,2004-09-24,,,0,8K_SUBMISSIONS,,6199.0,1,1
1002816,"Highlands Insurance Group, Inc.",1,2002-10-31,,2002-10-31,,0,LOPUCKI,11,6331,1,1
1002902,VELOCITY EXPRESS CORP,1,2009-09-25,2009-09-25,,,0,8K_FTS+8K_SUBMISSIONS,,4513,1,2
1003111,Globix Corp.,1,2002-03-01,,2002-03-01,,0,LOPUCKI,11,7370,1,1
1003114,Impath Inc.,1,2003-09-28,,2003-09-28,,0,LOPUCKI,11,8071,1,1
1003390,SILVERSTAR HOLDINGS LTD,1,2009-05-04,2009-05-04,,,0,8K_FTS+8K_SUBMISSIONS,,7372,1,2
1003429,REUNION INDUSTRIES INC,1,2007-11-29,2007-11-29,,,0,8K_SUBMISSIONS,,3089.0,1,1
1003429,REUNION INDUSTRIES INC,2,2010-06-11,2010-06-11,,,0,8K_FTS+8K_SUBMISSIONS,,3089,1,2
1003515,"Hines Horticulture, Inc.",1,2008-08-20,,2008-08-20,,0,LOPUCKI,11,100,1,1
1004153,AmeriTruck Distribution Corp.,1,1998-11-09,,1998-11-09,,0,LOPUCKI,11,4213,1,1
1004740,CAPITAL CORP OF THE WEST,1,2009-02-09,2009-02-09,2009-05-11,-91,92,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11,6022,1,5
1004967,"Pacific Gateway Exchange, Inc.",1,2000-12-29,,2000-12-29,,0,LOPUCKI,11,4813,1,1
1004969,PFF BANCORP INC,1,2008-11-24,2008-11-24,2008-12-05,-11,11,8K_SUBMISSIONS+LOPUCKI,11,6035.0,1,3
1004980,"PG&E Corp  (PCG, PCG-PA, PCG-PB, PCG-PC, PCG-PD, PCG-PE, PCG-PG, PCG-PH, PCG-PI)",1,2019-01-14,2019-01-14,2019-01-29,-15,15,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11,4931,1,5
