cik,company,start_quarter,end_quarter,end_quarter_idx,start_quarter_idx,split,is_positive_firm,event_date,quarters_to_event,n_observed_quarters,pct_cells_present,y1,y2,y3,y4
1002590,"STAR GROUP, L.P.",2011Q3,2013Q2,8053,8046,train,0,,,8,75.0,0,0,0,0
1002590,"STAR GROUP, L.P.",2011Q4,2013Q3,8054,8047,train,0,,,8,75.86206896551724,0,0,0,0
1002590,"STAR GROUP, L.P.",2012Q1,2013Q4,8055,8048,train,0,,,8,76.72413793103449,0,0,0,0
1002590,"STAR GROUP, L.P.",2012Q2,2014Q1,8056,8049,train,0,,,8,77.58620689655173,0,0,0,0
1002590,"STAR GROUP, L.P.",2012Q3,2014Q2,8057,8050,train,0,,,8,78.44827586206897,0,0,0,0
1002590,"STAR GROUP, L.P.",2012Q4,2014Q3,8058,8051,train,0,,,8,79.3103448275862,0,0,0,0
1002590,"STAR GROUP, L.P.",2013Q1,2014Q4,8059,8052,train,0,,,8,79.3103448275862,0,0,0,0
1002590,"STAR GROUP, L.P.",2013Q2,2015Q1,8060,8053,train,0,,,8,79.3103448275862,0,0,0,0
1002590,"STAR GROUP, L.P.",2013Q3,2015Q2,8061,8054,train,0,,,8,78.87931034482759,0,0,0,0
1002590,"STAR GROUP, L.P.",2013Q4,2015Q3,8062,8055,train,0,,,8,78.44827586206897,0,0,0,0
1002590,"STAR GROUP, L.P.",2014Q1,2015Q4,8063,8056,train,0,,,8,78.01724137931035,0,0,0,0
1002590,"STAR GROUP, L.P.",2014Q2,2016Q1,8064,8057,train,0,,,8,77.58620689655173,0,0,0,0
1002590,"STAR GROUP, L.P.",2014Q3,2016Q2,8065,8058,train,0,,,8,77.15517241379311,0,0,0,0
1002590,"STAR GROUP, L.P.",2014Q4,2016Q3,8066,8059,train,0,,,8,76.72413793103449,0,0,0,0
1002590,"STAR GROUP, L.P.",2015Q1,2016Q4,8067,8060,train,0,,,8,76.29310344827587,0,0,0,0
1002590,"STAR GROUP, L.P.",2015Q2,2017Q1,8068,8061,train,0,,,8,75.86206896551724,0,0,0,0
1002590,"STAR GROUP, L.P.",2015Q3,2017Q2,8069,8062,train,0,,,8,75.86206896551724,0,0,0,0
1002590,"STAR GROUP, L.P.",2015Q4,2017Q3,8070,8063,train,0,,,8,75.86206896551724,0,0,0,0
1002590,"STAR GROUP, L.P.",2016Q1,2017Q4,8071,8064,train,0,,,8,75.86206896551724,0,0,0,0
1002590,"STAR GROUP, L.P.",2016Q2,2018Q1,8072,8065,train,0,,,8,75.86206896551724,0,0,0,0
1002590,"STAR GROUP, L.P.",2016Q3,2018Q2,8073,8066,train,0,,,8,75.86206896551724,0,0,0,0
1002590,"STAR GROUP, L.P.",2016Q4,2018Q3,8074,8067,train,0,,,8,75.86206896551724,0,0,0,0
1002590,"STAR GROUP, L.P.",2017Q1,2018Q4,8075,8068,train,0,,,8,75.86206896551724,0,0,0,0
1004980,PG&E Corp,2009Q2,2011Q1,8044,8037,train,1,2019-01-14,32.0,8,79.3103448275862,0,0,0,0
1004980,PG&E Corp,2009Q3,2011Q2,8045,8038,train,1,2019-01-14,31.0,8,81.03448275862068,0,0,0,0
1004980,PG&E Corp,2009Q4,2011Q3,8046,8039,train,1,2019-01-14,30.0,8,82.75862068965517,0,0,0,0
1004980,PG&E Corp,2010Q1,2011Q4,8047,8040,train,1,2019-01-14,29.0,8,84.48275862068965,0,0,0,0
1004980,PG&E Corp,2010Q2,2012Q1,8048,8041,train,1,2019-01-14,28.0,8,86.20689655172413,0,0,0,0
1004980,PG&E Corp,2010Q3,2012Q2,8049,8042,train,1,2019-01-14,27.0,8,86.20689655172413,0,0,0,0
