lopucki_name,lopucki_date,candidate_edgar_name,candidate_cik,score
"AM International, Inc. (1982)",1982-04-14,FOAMEX INTERNATIONAL INC.,912908,88.9
"AM International, Inc. (1993)",1993-05-17,FOAMEX INTERNATIONAL INC.,912908,88.9
Bay Financial Corporation,1989-11-17,Ally Financial Inc.,40729,88.9
"AP Industries, Inc.",1990-03-29,1PM Industries,859747,88.9
Interco Inc.,1991-01-24,"InterCore, Inc.",1494214,87.5
Saxon Industries Inc.,1982-04-15,"Jason Industries, Inc.",1579252,87.5
MMR Holding Corp.,1990-03-28,MRU HOLDINGS INC,1145202,87.0
Charter Medical Corp.,1992-06-02,ARTES MEDICAL INC,1351197,85.7
WTD Industries Inc.,1991-01-30,"WSI INDUSTRIES, INC.",104897,85.7
Live Entertainment Inc.,1993-02-02,"RHI Entertainment, Inc.",1410637,85.7
"Anglo Energy, Ltd. (1983)",1983-11-04,CANARGO ENERGY CORP,310316,84.6
Resorts International Inc. (1989),1989-11-12,SLS INTERNATIONAL INC,1121785,84.2
America West Airlines Inc.,1991-06-27,"AMERICAN AIRLINES, INC.",4515,84.2
Dreco Energy Services Ltd.,1982-06-25,Emerge Energy Services LP,1555177,83.7
Smith International Inc.,1986-03-07,SLS INTERNATIONAL INC,1121785,83.3
Trumps Castle Funding Inc.,1992-03-09,TRUMP CASINO FUNDING INC,1226933,82.9
HRT Industries Inc.,1982-11-23,ARIS INDUSTRIES INC,100979,82.8
Edisto Resources Corp.,1992-10-26,"ESP Resources, Inc.",1346526,82.8
International American Homes Inc.,1990-04-16,AMERICHIP INTERNATIONAL INC,1132487,82.4
McLean Industries Inc.,1986-11-24,OLENOX INDUSTRIES INC.,1023994,82.4
"BSD Bancorp, Inc.",1993-11-03,FPB BANCORP INC,1162245,81.8
Daisy Systems Corp.,1990-05-30,ARBIOS SYSTEMS INC,1138862,81.5
UNR Industries Inc.,1982-07-29,"NEPTUNE INDUSTRIES, INC.",1138659,81.2
Wang Laboratories Inc.,1992-08-18,UNIGENE LABORATORIES INC,352747,81.1
Qintex Entertainment Inc.,1989-10-19,"RHI Entertainment, Inc.",1410637,81.1
First Capital Holdings Corp.,1991-05-13,CCO HOLDINGS CAPITAL CORP,1271834,81.0
Forum Group Inc.,1991-02-15,ENCORIUM GROUP INC,856569,80.0
Healthco International Inc.,1993-06-10,Endo International plc,1593034,80.0
NACO Finance Corp.,1991-05-09,Refco Finance Inc.,1305464,80.0
"SPI Holding, Inc.",1992-09-17,W HOLDING CO INC,1084887,80.0
Storage Technology Corp.,1984-10-31,SATCON TECHNOLOGY CORP,889423,80.0
"Wickes Companies, Inc.",1982-04-24,ROWE COMPANIES,85417,80.0
