lopucki_name,lopucki_date,chapter,reason
"A. H. Robins Company, Inc.",1985-08-21,11,no name candidate >= 80
Air Florida System Inc.,1984-07-03,11,no name candidate >= 80
"Al Copeland Enterprises, Inc.",1991-04-04,11,no name candidate >= 80
Alexanders Inc.,1992-05-15,11,no name candidate >= 80
"Allegheny International, Inc.",1988-02-20,11,no name candidate >= 80
Allis-Chalmers Corp.,1987-06-29,11,no name candidate >= 80
"AM International, Inc. (1982)",1982-04-14,11,fuzzy 89 in 80-90 review band
"AM International, Inc. (1993)",1993-05-17,11,fuzzy 89 in 80-90 review band
Amarex Inc.,1982-12-02,11,no name candidate >= 80
Amdura Corp.,1990-04-02,11,no name candidate >= 80
America West Airlines Inc.,1991-06-27,11,fuzzy 84 in 80-90 review band
American Carriers Inc.,1988-08-16,11,no name candidate >= 80
American Continental Corporation,1989-04-13,11,no name candidate >= 80
"American Healthcare Management, Inc.",1987-08-07,11,no name candidate >= 80
"Ames Department Stores, Inc. (1990)",1990-04-25,11,no name candidate >= 80
Angeles Corp.,1993-05-03,11,no name candidate >= 80
"Anglo Energy, Ltd. (1983)",1983-11-04,11,fuzzy 85 in 80-90 review band
"AP Industries, Inc.",1990-03-29,11,fuzzy 89 in 80-90 review band
Appletree Markets Inc.,1992-01-02,11,no name candidate >= 80
"Baldwin Builders (Baldwin Building Contractors, L.P.)",1995-07-18,11,no name candidate >= 80
Baldwin-United Corporation,1983-09-26,11,no name candidate >= 80
Basix Corp.,1988-02-29,11,no name candidate >= 80
Bay Financial Corporation,1989-11-17,11,fuzzy 89 in 80-90 review band
Beker Industries Corp.,1985-10-21,11,no name candidate >= 80
"Best Products Company, Inc. (1991)",1991-01-04,11,no name candidate >= 80
Bonneville Pacific Corporation,1991-12-05,11,no name candidate >= 80
Braniff Inc. (1989),1989-09-28,11,no name candidate >= 80
Braniff International Corp. (1982),1982-05-13,11,no name candidate >= 80
"BSD Bancorp, Inc.",1993-11-03,11,fuzzy 82 in 80-90 review band
Buttes Gas & Oil Co.,1985-11-15,11,no name candidate >= 80
Calton Inc.,1993-03-09,11,no name candidate >= 80
Cardis Corp.,1988-05-25,11,no name candidate >= 80
Carter Hawley Hale Stores Inc.,1991-02-11,11,no name candidate >= 80
Centennial Group Inc.,1991-12-13,11,no name candidate >= 80
Cenvill Development Corp.,1992-06-19,11,no name candidate >= 80
CF & I Steel Corp.,1990-11-07,11,no name candidate >= 80
Charter Company,1984-04-20,11,no name candidate >= 80
Charter Medical Corp.,1992-06-02,11,fuzzy 86 in 80-90 review band
Cherokee Inc. (1993),1993-04-23,11,no name candidate >= 80
Child World Inc.,1992-05-06,11,no name candidate >= 80
Circle K Corp.,1990-05-15,11,no name candidate >= 80
Coleco Industries Inc.,1988-07-11,11,no name candidate >= 80
