cik,company,event_date,source,chapter,sic,excluded_sic,reason,n_usgaap_tags,n_quarters_extracted
1002682,HORIZON FINANCIAL CORP,2010-01-11,8K_FTS+8K_SUBMISSIONS,,6022.0,,no 10-K/10-Q with a period end in 2010-2024,,
1454238,"Protective Products of America, Inc.",2010-01-14,8K_FTS+8K_SUBMISSIONS,,3842.0,,no 10-K/10-Q with a period end in 2010-2024,,
1098685,"Dynamic Response Group, Inc.",2010-01-15,8K_FTS+8K_SUBMISSIONS,,5961.0,,no 10-K/10-Q with a period end in 2010-2024,,
1276476,MORRIS PUBLISHING FINANCE CO,2010-01-20,8K_FTS+8K_SUBMISSIONS,,2711.0,,no 10-K/10-Q with a period end in 2010-2024,,
918944,"MediaNews Group, Inc. (Affiliated Media, Inc. only)",2010-01-22,LOPUCKI,11.0,2711.0,,no 10-K/10-Q with a period end in 2010-2024,,
1143566,EVERGREENBANCORP INC,2010-01-25,8K_FTS+8K_SUBMISSIONS+LOPUCKI,7.0,6035.0,,no 10-K/10-Q with a period end in 2010-2024,,
1010002,COLUMBIA BANCORP \OR\,2010-01-26,8K_SUBMISSIONS,,6022.0,,no 10-K/10-Q with a period end in 2010-2024,,
878808,FIRSTGOLD CORP.,2010-01-29,8K_FTS+8K_SUBMISSIONS,,1040.0,,no 10-K/10-Q with a period end in 2010-2024,,
356708,FIRST REGIONAL BANCORP,2010-02-01,8K_FTS+8K_SUBMISSIONS,,6022.0,,no 10-K/10-Q with a period end in 2010-2024,,
1409136,"Yippy, Inc.",2010-02-01,8K_SUBMISSIONS,,7372.0,,no entry in companyfacts.zip (never filed XBRL),,
1296595,CROSS CANYON ENERGY CORP.,2010-02-02,8K_FTS+8K_SUBMISSIONS,,1311.0,,no 10-K/10-Q with a period end in 2010-2024,,
1115568,WGNB CORP,2010-02-02,8K_FTS+8K_SUBMISSIONS,,6021.0,,no 10-K/10-Q with a period end in 2010-2024,,
1170902,FLORIDA COMMUNITY BANKS INC,2010-02-02,8K_FTS+8K_SUBMISSIONS,,6022.0,,no 10-K/10-Q with a period end in 2010-2024,,
925178,"Movie Gallery, Inc. (2010)",2010-02-02,LOPUCKI,11.0,7841.0,,no 10-K/10-Q with a period end in 2010-2024,,
1355804,Spheris Inc.,2010-02-03,LOPUCKI,11.0,7389.0,,no 10-K/10-Q with a period end in 2010-2024,,
855667,"Neenah Enterprises, Inc. (2010)",2010-02-03,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11.0,3320.0,,no 10-K/10-Q with a period end in 2010-2024,,
1040599,NEENAH FOUNDRY CO,2010-02-04,8K_FTS+8K_SUBMISSIONS,,3320.0,,no 10-K/10-Q with a period end in 2010-2024,,
1307425,CARBIZ INC,2010-02-12,8K_FTS+8K_SUBMISSIONS,,5500.0,,no 10-K/10-Q with a period end in 2010-2024,,
1129695,"BioAuthorize Holdings, Inc.",2010-02-18,8K_FTS+8K_SUBMISSIONS,,6552.0,,no 10-K/10-Q with a period end in 2010-2024,,
1221354,MARCO COMMUNITY BANCORP INC,2010-02-25,8K_FTS+8K_SUBMISSIONS,,6035.0,6035.0,SIC excluded (financial 6000-6799),,
919226,SMURFIT STONE CONTAINER CORP,2010-02-25,8K_FTS+8K_SUBMISSIONS,,2631.0,,no entry in companyfacts.zip (never filed XBRL),,
771485,PDG ENVIRONMENTAL INC,2010-02-26,8K_FTS+8K_SUBMISSIONS,,4955.0,,no 10-K/10-Q with a period end in 2010-2024,,
913015,REGENT COMMUNICATIONS INC,2010-03-01,8K_FTS+8K_SUBMISSIONS,,4832.0,,no 10-K/10-Q with a period end in 2010-2024,,
1243800,RAINIER PACIFIC FINANCIAL GROUP INC,2010-03-01,8K_FTS+8K_SUBMISSIONS,,6022.0,,no 10-K/10-Q with a period end in 2010-2024,,
38570,"Orleans Homebuilders, Inc.",2010-03-01,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11.0,1531.0,,no 10-K/10-Q with a period end in 2010-2024,,
937969,BERTHEL GROWTH & INCOME TRUST I,2010-03-05,8K_FTS+8K_SUBMISSIONS,,,,no 10-K/10-Q with a period end in 2010-2024,,
920317,US DRY CLEANING CORP,2010-03-05,8K_FTS+8K_SUBMISSIONS,,7200.0,,no 10-K/10-Q with a period end in 2010-2024,,
1125532,"VERTICAL BRANDING, INC.",2010-03-05,8K_FTS+8K_SUBMISSIONS,,5960.0,,no 10-K/10-Q with a period end in 2010-2024,,
1050112,ANTHRACITE CAPITAL INC,2010-03-15,8K_FTS+8K_SUBMISSIONS+LOPUCKI,7.0,6798.0,,no 10-K/10-Q with a period end in 2010-2024,,
1019883,APPALACHIAN BANCSHARES INC,2010-03-24,8K_FTS+8K_SUBMISSIONS,,6022.0,,no 10-K/10-Q with a period end in 2010-2024,,
949228,BEACH FIRST NATIONAL BANCSHARES INC,2010-04-12,8K_FTS+8K_SUBMISSIONS+LOPUCKI,7.0,6021.0,,no 10-K/10-Q with a period end in 2010-2024,,
1137469,"NOVA BIOSOURCE FUELS, INC.",2010-04-14,8K_FTS+8K_SUBMISSIONS,,2911.0,,no 10-K/10-Q with a period end in 2010-2024,,
899166,"POINT BLANK SOLUTIONS, INC.",2010-04-14,8K_FTS+8K_SUBMISSIONS,,3842.0,,no 10-K/10-Q with a period end in 2010-2024,,
1099980,TAMALPAIS BANCORP,2010-04-19,8K_FTS+8K_SUBMISSIONS+LOPUCKI,7.0,6022.0,,no 10-K/10-Q with a period end in 2010-2024,,
758256,Saint James CO,2010-04-22,8K_FTS+8K_SUBMISSIONS,,9995.0,,no 10-K/10-Q with a period end in 2010-2024,,
878774,American Mortgage Acceptance Company,2010-04-26,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11.0,6798.0,,no 10-K/10-Q with a period end in 2010-2024,,
1070510,SARS CORP.,2010-04-27,8K_FTS+8K_SUBMISSIONS,,7372.0,,no 10-K/10-Q with a period end in 2010-2024,,
1016933,R&G FINANCIAL CORP,2010-04-30,8K_FTS+8K_SUBMISSIONS,,6022.0,,no 10-K/10-Q with a period end in 2010-2024,,
716457,FRONTIER FINANCIAL CORP /WA/,2010-05-03,8K_FTS+8K_SUBMISSIONS,,6022.0,,no 10-K/10-Q with a period end in 2010-2024,,
1161924,"MiddleBrook Pharmaceuticals, Inc.",2010-05-04,8K_FTS+8K_SUBMISSIONS,,2834.0,,no entry in companyfacts.zip (never filed XBRL),,
1084887,W HOLDING CO INC,2010-05-04,8K_FTS+8K_SUBMISSIONS,,6022.0,,no 10-K/10-Q with a period end in 2010-2024,,
1164554,EUROBANCSHARES INC,2010-05-04,8K_FTS+8K_SUBMISSIONS,,6029.0,,no 10-K/10-Q with a period end in 2010-2024,,
1127442,CITIZENS FIRST BANCORP INC,2010-05-06,8K_FTS+8K_SUBMISSIONS,,6036.0,,no 10-K/10-Q with a period end in 2010-2024,,
1330487,CHEM RX CORP,2010-05-12,8K_FTS+8K_SUBMISSIONS,,6770.0,,no 10-K/10-Q with a period end in 2010-2024,,
1047153,CERTIFIED DIABETIC SERVICES INC,2010-05-13,8K_FTS+8K_SUBMISSIONS,,8090.0,,no 10-K/10-Q with a period end in 2010-2024,,
1380712,1st Pacific Bancorp,2010-05-13,8K_FTS+8K_SUBMISSIONS,,6022.0,,no 10-K/10-Q with a period end in 2010-2024,,
318259,"MDI, INC.",2010-05-14,8K_FTS+8K_SUBMISSIONS,,3861.0,,no 10-K/10-Q with a period end in 2010-2024,,
1057725,Neff Corp.,2010-05-16,LOPUCKI,11.0,7359.0,,no 10-K/10-Q with a period end in 2010-2024,,
1051379,MIDWEST BANC HOLDINGS INC,2010-05-20,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11.0,6021.0,6021.0,SIC excluded (financial 6000-6799),,
1082368,BANK OF FLORIDA CORP,2010-06-01,8K_FTS+8K_SUBMISSIONS,,6021.0,6021.0,SIC excluded (financial 6000-6799),,
1180743,"CERAGENIX PHARMACEUTICALS, INC.",2010-06-03,8K_FTS+8K_SUBMISSIONS,,3841.0,,no 10-K/10-Q with a period end in 2010-2024,,
1047290,"Newark Group, Inc.",2010-06-09,LOPUCKI,11.0,2631.0,,no 10-K/10-Q with a period end in 2010-2024,,
